Subject ID, Ref, Near, Distance of Near from Near - Distance of Near from Ref, Distance of Ref from Near - Distance of Ref from Ref
3834,orange_box_placard,car_placard,0.001184828712471894,0.04420675610849907
3834,green_cone_placard,raptor_placard,-0.07206903532302628,0.0267042418276625
3835,pink_cylinder_placard,cow_placard,-0.008984313869058229,0.023789564942320186
3835,blue_cube_placard,boat_placard,-0.10949775657841358,-0.08883976116911686
3835,red_ball_placard,pooh_placard,0.015518820526988764,0.003979313774750783
3835,yellow_pyramid_placard,hippo_placard,-0.03353899678394283,-0.00494623430145597
3835,orange_box_placard,elephant_placard,-0.018678717410495115,0.021772174573040263
3835,green_cone_placard,duck_placard,0,0
3839,pink_cylinder_placard,cow_placard,-0.0560087732378846,0.11627874740432682
3839,blue_cube_placard,boat_placard,-0.05274052494323211,0.005902886055781088
3839,red_ball_placard,pooh_placard,-0.035315656942910834,0.2060486515779253
3839,yellow_pyramid_placard,hippo_placard,-0.029888070078895372,0.01914865903215099
3839,orange_box_placard,elephant_placard,0.05789908844603117,-0.004624966684227379
3839,green_cone_placard,duck_placard,-0.31679013962773417,-0.05915319840462568
3848,pink_cylinder_placard,cow_placard,-0.052591472116120634,-0.01682379371239194
3848,blue_cube_placard,boat_placard,0.020173280264486323,0.01490583721729488
3848,red_ball_placard,pooh_placard,-0.04337483161833842,0.22213391900089952
3848,yellow_pyramid_placard,hippo_placard,0.035403094700138485,0.0747109028842237
3848,orange_box_placard,elephant_placard,0.024779767790080412,0.4460751676539251
3848,green_cone_placard,duck_placard,0.0305691550147127,0.011226918266938744
3859,pink_cylinder_placard,frog_placard,0,0
3859,blue_cube_placard,airplane_placard,-0.15500538993335322,-0.016536732649673588
3859,red_ball_placard,book_placard,0,0
3859,yellow_pyramid_placard,lion_placard,-0.011796652230045498,0.09697944291222554
3859,orange_box_placard,car_placard,0.0021063121047949322,0.1269508487126413
3859,green_cone_placard,raptor_placard,0,0
3864,pink_cylinder_placard,frog_placard,-0.23180725041467848,-0.18330053602031238
3864,blue_cube_placard,airplane_placard,0,0
3864,red_ball_placard,book_placard,0,0
3864,yellow_pyramid_placard,lion_placard,-0.015887594506299743,-0.08308251604268496
3864,orange_box_placard,car_placard,-0.3363821036528132,-0.11332388311795151
3864,green_cone_placard,raptor_placard,-0.10119113841707386,-0.029213348216348394
3867,pink_cylinder_placard,frog_placard,-0.016215263987477455,-0.006508265519051592
3867,blue_cube_placard,airplane_placard,-0.12629453812179894,0.01691281511151093
3867,red_ball_placard,book_placard,-0.024324528590747803,-0.0030198355260140754
3867,yellow_pyramid_placard,lion_placard,0.007355502709703294,0.0034985339750985165
3867,orange_box_placard,car_placard,0,0
3867,green_cone_placard,raptor_placard,-0.0060082479890081145,0.016132489467660587
3868,pink_cylinder_placard,cow_placard,-0.010694241091087051,0.031729133646051906
3868,blue_cube_placard,boat_placard,0.06697571575839786,-0.19625481514769016
3868,red_ball_placard,pooh_placard,-0.05467103741716082,-0.017972922947257757
3868,yellow_pyramid_placard,hippo_placard,-0.09726523232529871,-0.030735356327937564
3868,orange_box_placard,elephant_placard,-0.0628304050403571,-0.017038211808539927
3868,green_cone_placard,duck_placard,-0.0007491404075312232,-0.0012766277042149299
3870,pink_cylinder_placard,frog_placard,-0.025153109765169532,-0.02442279136438164
3870,blue_cube_placard,airplane_placard,-0.024773413968867942,-0.023522494536448727
3870,red_ball_placard,book_placard,-0.02174495586327144,-0.0013015521396147578
3870,yellow_pyramid_placard,lion_placard,-0.054619767387276114,-0.04175569420974506
3870,orange_box_placard,car_placard,-0.15442046025964373,-0.01126064685191594
3870,green_cone_placard,raptor_placard,-0.0317643546632358,-0.010340249538247226
3871,pink_cylinder_placard,cow_placard,-0.9309118395273496,0.03996470459138176
3871,blue_cube_placard,boat_placard,-0.3770841314154677,0.002890089973913167
3871,red_ball_placard,pooh_placard,-0.05904507637023926,0.1337198156218689
3871,yellow_pyramid_placard,hippo_placard,-0.21010899780394168,0.01790999542358537
3871,orange_box_placard,elephant_placard,0.00021128142757933268,0.0013724174081849365
3871,green_cone_placard,duck_placard,0,0
3872,pink_cylinder_placard,frog_placard,-0.0039353465883149984,-0.004775757103819739
3872,blue_cube_placard,airplane_placard,-0.02532069162841429,-0.003410638565020192
3872,red_ball_placard,book_placard,-0.010906057432293892,-0.0036677505083432134
3872,yellow_pyramid_placard,lion_placard,0.013492640028162315,0.013952003328336609
3872,orange_box_placard,car_placard,-0.03352319761506806,-0.017465877485857612
3872,green_cone_placard,raptor_placard,0.00034152683389337756,-0.0021723037808323684
3881,pink_cylinder_placard,cow_placard,-0.0893170241738709,-0.0752686877699139
3881,blue_cube_placard,boat_placard,-0.05838190968747118,0.014251436352325503
3881,red_ball_placard,pooh_placard,0.003259022859359339,0.026328014733735472
3881,yellow_pyramid_placard,hippo_placard,0.022699130520334544,0.03759017101644228
3881,orange_box_placard,elephant_placard,-0.04539553599897772,0.05274303603106589
3881,green_cone_placard,duck_placard,-0.012923460595145854,-0.0025648331227468633
3883,pink_cylinder_placard,cow_placard,-0.013927207044933153,0.008771254614527737
3883,blue_cube_placard,boat_placard,0.0031845499338074164,-0.013574827317702206
3883,red_ball_placard,pooh_placard,-0.007879985590989236,-0.0029086983456407616
3883,yellow_pyramid_placard,hippo_placard,0.003922403185429447,0.004161525233681743
3883,orange_box_placard,elephant_placard,0.017761884499099347,-0.018218818150024425
3883,green_cone_placard,duck_placard,-0.2339342769611218,-0.16749628495880567
3884,pink_cylinder_placard,frog_placard,0.001425760384681153,0.004195121336450713
3884,blue_cube_placard,airplane_placard,0.022494265536931447,-0.18241096694259074
3884,red_ball_placard,book_placard,-0.031481496505923086,0.016811396607577248
3884,yellow_pyramid_placard,lion_placard,-0.0012172184158916488,0.009764083429258696
3884,orange_box_placard,car_placard,-0.17319741252064705,0.09670341543696977
3884,green_cone_placard,raptor_placard,-0.042777573900624505,-0.001977554071814783
3894,pink_cylinder_placard,cow_placard,0.002900090046732882,0.009319996793308983
3894,blue_cube_placard,boat_placard,-0.03185774254161198,-0.005459092385870845
3894,red_ball_placard,pooh_placard,-0.018536781591380606,-0.007259634439833462
3894,yellow_pyramid_placard,hippo_placard,-0.01520754313384442,-0.018331160934561965
3894,orange_box_placard,elephant_placard,-0.004609984051710807,0.007030920264196027
3894,green_cone_placard,duck_placard,-0.0012906403868352177,-0.014176973257114929
